out_name,frequency,units,long_name,standard_name,priority,priority_urb,priority_conv,comment,cell_measures,cell_methods,dimensions,ok_max_mean_abs,ok_min_mean_abs,positive,type,valid_max,valid_min
mrsofc,fx,kg m-2,Capacity of Soil to Store Water  (Field Capacity),soil_moisture_content_at_field_capacity,,URB-TIER2,CONV-CORE,,area: areacella,area: mean where land,longitude latitude,,,,real,,
mrsol,day,kg m-2,Total Water Content of Soil Layer,mass_content_of_water_in_soil_layer,,,CONV-CORE,The mass of water in all phases in each soil layer (3D variable). Reported as missing for grid cells with no land.,area: areacella,area: mean where land time: mean,longitude latitude sdepth time,,,,real,,
od550aer,mon,1,Ambient Aerosol Optical Thickness at 550nm,atmosphere_optical_thickness_due_to_ambient_aerosol_particles,I4C-TIER2,,,#T32,area: areacella,area: time: mean,longitude latitude time,,,,real,,
orog,fx,m,Surface Altitude,surface_altitude,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 #WP6,area: areacella,area: mean,longitude latitude,,,,real,,
pr,1hr,kg m-2 s-1,Precipitation,precipitation_flux,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 #WP6,area: areacella,area: time: mean,longitude latitude time,,,,real,,
pr,day,kg m-2 s-1,Precipitation,precipitation_flux,I4C-CORE,URB-CORE,,#T33 #WP4 #WP6,area: areacella,area: time: mean,longitude latitude time,,,,real,,
pr,mon,kg m-2 s-1,Precipitation,precipitation_flux,I4C-CORE,URB-CORE,,#T33,area: areacella,area: time: mean,longitude latitude time,,,,real,,
prc,1hr,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
prc,day,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
prc,mon,kg m-2 s-1,Convective Precipitation,convective_precipitation_flux,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
prw,1hr,kg m-2,Water Vapor Path,atmosphere_mass_content_of_water_vapor,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1,,,,real,,
ps,1hr,Pa,Surface Air Pressure,surface_air_pressure,I4C-CORE,URB-CORE,CONV-CORE,#WP6,area: areacella,area: mean time: point,longitude latitude time1,,,,real,,
ps,day,Pa,Surface Air Pressure,surface_air_pressure,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
ps,mon,Pa,Surface Air Pressure,surface_air_pressure,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
psl,1hr,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,I4C-CORE,URB-CORE,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1,,,,real,,
psl,day,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,I4C-CORE,URB-CORE,,#T33,area: areacella,area: time: mean,longitude latitude time,,,,real,,
psl,mon,Pa,Sea Level Pressure,air_pressure_at_mean_sea_level,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
rlds,1hr,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP6,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
rlds,day,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,I4C-CORE,URB-CORE,,#T33 #WP6,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
rlds,mon,W m-2,Surface Downwelling Longwave Radiation,surface_downwelling_longwave_flux_in_air,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
rlus,1hr,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: time: mean,longitude latitude time,,,up,real,,
rlus,day,W m-2,Surface Upwelling Longwave Radiation,surface_upwelling_longwave_flux_in_air,I4C-TIER1,,,#T33,area: areacella,area: time: mean,longitude latitude time,,,up,real,,
rootd,fx,m,Maximum Root Depth,root_depth,,,CONV-CORE,,area: areacella,area: mean,longitude latitude,,,,real,,
rsds,1hr,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP6,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
rsds,day,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,I4C-CORE,URB-CORE,,#T33 #WP6,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
rsds,mon,W m-2,Surface Downwelling Shortwave Radiation,surface_downwelling_shortwave_flux_in_air,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,down,real,,
rsus,1hr,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: time: mean,longitude latitude time,,,up,real,,
rsus,day,W m-2,Surface Upwelling Shortwave Radiation,surface_upwelling_shortwave_flux_in_air,I4C-TIER1,,,#T33,area: areacella,area: time: mean,longitude latitude time,,,up,real,,
sfcWind,1hr,m s-1,Near-Surface Wind Speed,wind_speed,I4C-CORE,URB-CORE,,#T33 #WP6,area: areacella,area: mean time: point,longitude latitude time1 height10m,,,,real,,
sfcWind,day,m s-1,Near-Surface Wind Speed,wind_speed,I4C-CORE,URB-CORE,,#T33 #WP4 #WP6,area: areacella,area: time: mean,longitude latitude time height10m,,,,real,,
sfcWind,mon,m s-1,Near-Surface Wind Speed,wind_speed,I4C-CORE,URB-CORE,,#T33,area: areacella,area: time: mean,longitude latitude time height10m,,,,real,,
sfcWindcan,1hr,m s-1,Near-Surface Wind Speed within canyon,wind_speed_canyon,,URB-URB-RCC,,,area: areacella,area: mean time: point,,,,,real,,
sfcWindcan,day,m s-1,Near-Surface Wind Speed within canyon,wind_speed_canyon,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
sfcWindcan,mon,m s-1,Near-Surface Wind Speed within canyon,wind_speed_canyon,,URB-URB-RCC,,,area: areacella,area: time: mean,,,,,real,,
sfcWindmax,day,m s-1,Daily Maximum Near-Surface Wind Speed,wind_speed,,,CONV-CORE,Maximum from all integrated time steps per day,area: areacella,area: mean time: maximum,longitude latitude time height10m,,,,real,,
sftgif,fx,%,Percentage of the Grid Cell Covered by Glacier,land_ice_area_fraction,,,CONV-CORE,,area: areacella,area: mean,longitude latitude,,,,real,,
sftlaf,fx,%,Percentage of the Grid Cell Occupied by Lake,area_fraction,,URB-TIER2,,not in CMIP or in CF,area: areacella,area: mean where fresh_free_water,longitude latitude,,,,real,,
sftlf,fx,%,Percentage of the Grid Cell Occupied by Land,land_area_fraction,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP4 #WP6,area: areacella,area: mean,longitude latitude,,,,real,,
sfturf,fx,%,Percentage of the Grid Cell Occupied by Urban Area,area_fraction,I4C-TIER2,URB-CORE,,#T33 #WP4 #WP6 not in CMIP or in CF,area: areacella,area: mean where urban,longitude latitude,,,,real,,
siconca,mon,%,Sea-Ice Area Percentage (Atmospheric Grid),sea_ice_area_fraction,I4C-TIER1,,,#T32,area: areacella,area: time: mean,longitude latitude time,,,,real,,
snc,day,%,Snow Area Percentage,surface_snow_area_fraction,,,CONV-CORE,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
snd,day,m,Snow Depth,surface_snow_thickness,,,CONV-CORE,,area: areacella,area: mean where land time: mean,longitude latitude time,,,,real,,
snw,1hr,kg m-2,Surface Snow Amount,surface_snow_amount,I4C-CORE,,,#WP6,area: areacella,area: mean where land time: point,longitude latitude time1,,,,real,,
ta1000,1hr,K,Air Temperature,air_temperature,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p1000,,,,real,,
ta1000,6hr,K,Air Temperature,air_temperature,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p1000,,,,real,,
ta1000,day,K,Air Temperature,air_temperature,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p1000,,,,real,,
ta1000,mon,K,Air Temperature,air_temperature,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p1000,,,,real,,
ta200,1hr,K,Air Temperature,air_temperature,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p200,,,,real,,
