out_name,frequency,units,long_name,standard_name,priority,priority_urb,priority_conv,comment,cell_measures,cell_methods,dimensions,ok_max_mean_abs,ok_min_mean_abs,positive,type,valid_max,valid_min
ua700,day,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p700,,,,real,,
ua700,mon,m s-1,Eastward Wind,eastward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p700,,,,real,,
ua850,1hr,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
ua850,6hr,m s-1,Eastward Wind,eastward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
ua850,day,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p850,,,,real,,
ua850,mon,m s-1,Eastward Wind,eastward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p850,,,,real,,
ua925,1hr,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
ua925,6hr,m s-1,Eastward Wind,eastward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
ua925,day,m s-1,Eastward Wind,eastward_wind,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p925,,,,real,,
ua925,mon,m s-1,Eastward Wind,eastward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p925,,,,real,,
uas,1hr,m s-1,Eastward Near-Surface Wind,eastward_wind,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP6,area: areacella,area: mean time: point,longitude latitude time1 height10m,,,,real,,
uas,day,m s-1,Eastward Near-Surface Wind,eastward_wind,I4C-CORE,URB-CORE,,#T33 #WP6,area: areacella,area: time: mean,longitude latitude time height10m,,,,real,,
uas,mon,m s-1,Eastward Near-Surface Wind,eastward_wind,I4C-CORE,URB-CORE,,#T33,area: areacella,area: time: mean,longitude latitude time height10m,,,,real,,
va1000,1hr,m s-1,Northward Wind,northward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p1000,,,,real,,
va1000,6hr,m s-1,Northward Wind,northward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p1000,,,,real,,
va1000,day,m s-1,Northward Wind,northward_wind,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p1000,,,,real,,
va1000,mon,m s-1,Northward Wind,northward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p1000,,,,real,,
va100m,1hr,m s-1,Northward Wind at 100m,northward_wind,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 height100m,,,,real,,
va200,1hr,m s-1,Northward Wind,northward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p200,,,,real,,
va200,day,m s-1,Northward Wind,northward_wind,I4C-TIER1,,,#T33,area: areacella,area: time: mean,longitude latitude time p200,,,,real,,
va500,1hr,m s-1,Northward Wind,northward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p500,,,,real,,
va500,day,m s-1,Northward Wind,northward_wind,I4C-TIER1,,,#T33 #WP4,area: areacella,area: time: mean,longitude latitude time p500,,,,real,,
va50m,1hr,m s-1,Northward Wind at 50m,northward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 height50m,,,,real,,
va50m,day,m s-1,Northward Wind at 50m,northward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time height50m,,,,real,,
va50m,mon,m s-1,Northward Wind at 50m,northward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time height50m,,,,real,,
va700,1hr,m s-1,Northward Wind,northward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
va700,6hr,m s-1,Northward Wind,northward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
va700,day,m s-1,Northward Wind,northward_wind,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p700,,,,real,,
va700,mon,m s-1,Northward Wind,northward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p700,,,,real,,
va850,1hr,m s-1,Northward Wind,northward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
va850,6hr,m s-1,Northward Wind,northward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
va850,day,m s-1,Northward Wind,northward_wind,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p850,,,,real,,
va850,mon,m s-1,Northward Wind,northward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p850,,,,real,,
va925,1hr,m s-1,Northward Wind,northward_wind,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
va925,6hr,m s-1,Northward Wind,northward_wind,,URB-TIER1,,,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
va925,day,m s-1,Northward Wind,northward_wind,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p925,,,,real,,
va925,mon,m s-1,Northward Wind,northward_wind,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p925,,,,real,,
vas,1hr,m s-1,Northward Near-Surface Wind,northward_wind,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP6,area: areacella,area: mean time: point,longitude latitude time1 height10m,,,,real,,
vas,day,m s-1,Northward Near-Surface Wind,northward_wind,I4C-CORE,URB-CORE,,#T33 #WP6,area: areacella,area: time: mean,longitude latitude time height10m,,,,real,,
vas,mon,m s-1,Northward Near-Surface Wind,northward_wind,I4C-CORE,URB-CORE,,#T33,area: areacella,area: time: mean,longitude latitude time height10m,,,,real,,
wa1000,1hr,m s-1,Upward Air Velocity,upward_air_velocity,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p1000,,,,real,,
wa200,1hr,m s-1,Upward Air Velocity,upward_air_velocity,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p200,,,,real,,
wa500,1hr,m s-1,Upward Air Velocity,upward_air_velocity,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p500,,,,real,,
wa700,1hr,m s-1,Upward Air Velocity,upward_air_velocity,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
wa850,1hr,m s-1,Upward Air Velocity,upward_air_velocity,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
wa925,1hr,m s-1,Upward Air Velocity,upward_air_velocity,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
wsgmax100m,day,m s-1,Maximum wind speed of gust at 100m,wind_speed_of_gust,,,CONV-TIER1,new variable to include wind at turbine height,,time: maximum,,,,,,,
wsgsmax,1hr,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,,,CONV-CORE,,area: areacella,area: mean time: maximum within days time: mean over days,longitude latitude time height10m,,,,real,,
wsgsmax,day,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,wind_speed_of_gust,,,CONV-CORE,,area: areacella,area: mean time: maximum,longitude latitude time height10m,,,,real,,
z0,day,m,Surface Roughness Length,surface_roughness_length,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
z0,mon,m,Surface Roughness Length,surface_roughness_length,,URB-CORE,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
zg1000,6hr,m,Geopotential Height,geopotential_height,,URB-TIER1,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p1000,,,,real,,
zg1000,day,m,Geopotential Height,geopotential_height,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p1000,,,,real,,
zg1000,mon,m,Geopotential Height,geopotential_height,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p1000,,,,real,,
zg200,6hr,m,Geopotential Height,geopotential_height,,,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p200,,,,real,,
zg500,1hr,m,Geopotential Height,geopotential_height,I4C-TIER1,,CONV-CORE,#T33,area: areacella,area: mean time: point,longitude latitude time1 p500,,,,real,,
zg500,day,m,Geopotential Height,geopotential_height,I4C-TIER1,,,#T33,area: areacella,area: time: mean,longitude latitude time p500,,,,real,,
zg700,1hr,m,Geopotential Height,geopotential_height,I4C-TIER1,,,#T33,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
zg700,6hr,m,Geopotential Height,geopotential_height,,URB-TIER1,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p700,,,,real,,
zg700,day,m,Geopotential Height,geopotential_height,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p700,,,,real,,
zg700,mon,m,Geopotential Height,geopotential_height,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p700,,,,real,,
zg850,1hr,m,Geopotential Height,geopotential_height,I4C-TIER1,,,#T33,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
zg850,6hr,m,Geopotential Height,geopotential_height,,URB-TIER1,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p850,,,,real,,
zg850,day,m,Geopotential Height,geopotential_height,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p850,,,,real,,
zg850,mon,m,Geopotential Height,geopotential_height,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p850,,,,real,,
zg925,1hr,m,Geopotential Height,geopotential_height,I4C-TIER1,,,#T33,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
zg925,6hr,m,Geopotential Height,geopotential_height,,URB-TIER1,CONV-CORE,,area: areacella,area: mean time: point,longitude latitude time1 p925,,,,real,,
zg925,day,m,Geopotential Height,geopotential_height,I4C-TIER1,URB-TIER1,,#T33,area: areacella,area: time: mean,longitude latitude time p925,,,,real,,
zg925,mon,m,Geopotential Height,geopotential_height,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time p925,,,,real,,
zmla,1hr,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,,URB-TIER1,CONV-TIER1,,area: areacella,area: mean time: point,longitude latitude time1,,,,real,,
zmla,day,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
zmla,mon,m,Height of Boundary Layer,atmosphere_boundary_layer_thickness,,URB-TIER1,,,area: areacella,area: time: mean,longitude latitude time,,,,real,,
