output variable name,WRF variable,units,ag,long_name,standard_name,mon,day,6hr,3hr,1hr,Priority
va700,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 1
va600,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 1
va500,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 1
va400,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 1
va300,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 1
va250,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 1
va200,-999,m s-1,i,Northward Wind,northward_wind,x,x,x,,x,TIER 1
ta1000,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta925,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta850,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta700,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta600,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta500,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta400,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta300,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta250,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
ta200,-999,K,i,Air Temperature,air_temperature,x,x,x,,x,TIER 1
hus1000,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus925,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus850,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus700,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus600,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus500,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus400,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus300,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus250,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
hus200,-999,1,i,Specific Humidity,specific_humidity,x,x,x,,x,TIER 1
zg1000,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg925,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg850,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg700,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg600,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg500,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg400,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg300,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg250,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
zg200,-999,m,i,Geopotential Height,geopotential_height,x,x,x,,x,TIER 1
wa1000,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa925,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa850,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa700,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa600,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa500,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa400,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa300,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa250,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
wa200,-999,m s-1,i,Upward Air Velocity,upward_air_velocity,x,x,x,,x,TIER 1
ua50m,-999,m s-1,i,Eastward Wind at 50m,eastward_wind,x,x,,,x,TIER 1
ua100m,-999,m s-1,i,Eastward Wind at 100m,eastward_wind,x,x,,,x,TIER 1
ua150m,-999,m s-1,i,Eastward Wind at 150m,eastward_wind,x,x,,,x,TIER 1
va50m,-999,m s-1,i,Northward Wind at 50m,northward_wind,x,x,,,x,TIER 1
va100m,-999,m s-1,i,Northward Wind at 100m,northward_wind,x,x,,,x,TIER 1
va150m,-999,m s-1,i,Northward Wind at 150m,northward_wind,x,x,,,x,TIER 1
ta50m,-999,K,i,Air Temperature at 50m,air_temperature,x,x,,,x,TIER 1
hus50m,-999,1,i,Specific Humidity at 50m,specific_humidity,x,x,,,x,TIER 1
