out_name,frequency,units,long_name,priority,priority_urb,priority_conv,comment
uas,day,m s-1,Eastward Near-Surface Wind,I4C-CORE,URB-CORE,,#T33 #WP6
uas,mon,m s-1,Eastward Near-Surface Wind,I4C-CORE,URB-CORE,,#T33
va1000,1hr,m s-1,Northward Wind,I4C-TIER1,,,#T33
va1000,3hr,m s-1,Northward Wind,,,CONV-CORE,
va1000,6hr,m s-1,Northward Wind,,URB-TIER1,,
va1000,day,m s-1,Northward Wind,I4C-TIER1,URB-TIER1,,#T33
va1000,mon,m s-1,Northward Wind,,URB-TIER1,,
va100m,1hr,m s-1,Northward Wind at 100m,,,CONV-CORE,
va200,1hr,m s-1,Northward Wind,I4C-TIER1,,,#T33
va200,3hr,m s-1,Northward Wind,,,CONV-CORE,
va200,day,m s-1,Northward Wind,I4C-TIER1,,,#T33
va500,1hr,m s-1,Northward Wind,I4C-TIER1,,,#T33
va500,3hr,m s-1,Northward Wind,,,CONV-CORE,
va500,day,m s-1,Northward Wind,I4C-TIER1,,,#T33 #WP4
va50m,1hr,m s-1,Northward Wind at 50m,,URB-TIER1,,
va50m,day,m s-1,Northward Wind at 50m,,URB-TIER1,,
va50m,mon,m s-1,Northward Wind at 50m,,URB-TIER1,,
va700,1hr,m s-1,Northward Wind,I4C-TIER1,,,#T33
va700,3hr,m s-1,Northward Wind,,,CONV-CORE,
va700,6hr,m s-1,Northward Wind,,URB-TIER1,,
va700,day,m s-1,Northward Wind,I4C-TIER1,URB-TIER1,,#T33
va700,mon,m s-1,Northward Wind,,URB-TIER1,,
va850,1hr,m s-1,Northward Wind,I4C-TIER1,,,#T33
va850,3hr,m s-1,Northward Wind,,,CONV-CORE,
va850,6hr,m s-1,Northward Wind,,URB-TIER1,,
va850,day,m s-1,Northward Wind,I4C-TIER1,URB-TIER1,,#T33
va850,mon,m s-1,Northward Wind,,URB-TIER1,,
va925,1hr,m s-1,Northward Wind,I4C-TIER1,,,#T33
va925,3hr,m s-1,Northward Wind,,,CONV-CORE,
va925,6hr,m s-1,Northward Wind,,URB-TIER1,,
va925,day,m s-1,Northward Wind,I4C-TIER1,URB-TIER1,,#T33
va925,mon,m s-1,Northward Wind,,URB-TIER1,,
vas,1hr,m s-1,Northward Near-Surface Wind,I4C-CORE,URB-CORE,CONV-CORE,#T33 #WP6
vas,day,m s-1,Northward Near-Surface Wind,I4C-CORE,URB-CORE,,#T33 #WP6
vas,mon,m s-1,Northward Near-Surface Wind,I4C-CORE,URB-CORE,,#T33
wa1000,3hr,m s-1,Upward Air Velocity,,,CONV-CORE,
wa200,3hr,m s-1,Upward Air Velocity,,,CONV-CORE,
wa500,3hr,m s-1,Upward Air Velocity,,,CONV-CORE,
wa700,3hr,m s-1,Upward Air Velocity,,,CONV-CORE,
wa850,3hr,m s-1,Upward Air Velocity,,,CONV-CORE,
wa925,3hr,m s-1,Upward Air Velocity,,,CONV-CORE,
wsgmax100m,day,m s-1,Maximum wind speed of gust at 100m,,,CONV-TIER1,new variable to include wind at turbine height
wsgsmax,1hr,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,,,CONV-CORE,
wsgsmax,day,m s-1,Daily Maximum Near-Surface Wind Speed of Gust,,,CONV-CORE,
z0,day,m,Surface Roughness Length,,URB-CORE,,
z0,mon,m,Surface Roughness Length,,URB-CORE,,
zg1000,6hr,m,Geopotential Height,,URB-TIER1,CONV-CORE,
zg1000,day,m,Geopotential Height,,URB-TIER1,,
zg1000,mon,m,Geopotential Height,,URB-TIER1,,
zg200,6hr,m,Geopotential Height,,,CONV-CORE,
zg500,1hr,m,Geopotential Height,I4C-TIER1,,,#T33
zg500,6hr,m,Geopotential Height,,,CONV-CORE,
zg500,day,m,Geopotential Height,I4C-TIER1,,,#T33
zg700,1hr,m,Geopotential Height,I4C-TIER1,,,#T33
zg700,6hr,m,Geopotential Height,,URB-TIER1,CONV-CORE,
zg700,day,m,Geopotential Height,I4C-TIER1,URB-TIER1,,#T33
zg700,mon,m,Geopotential Height,,URB-TIER1,,
zg850,1hr,m,Geopotential Height,I4C-TIER1,,,#T33
zg850,6hr,m,Geopotential Height,,URB-TIER1,CONV-CORE,
zg850,day,m,Geopotential Height,I4C-TIER1,URB-TIER1,,#T33
zg850,mon,m,Geopotential Height,,URB-TIER1,,
zg925,1hr,m,Geopotential Height,I4C-TIER1,,,#T33
zg925,6hr,m,Geopotential Height,,URB-TIER1,CONV-CORE,
zg925,day,m,Geopotential Height,I4C-TIER1,URB-TIER1,,#T33
zg925,mon,m,Geopotential Height,,URB-TIER1,,
zmla,1hr,m,Height of Boundary Layer,,URB-TIER1,CONV-TIER1,
zmla,day,m,Height of Boundary Layer,,URB-TIER1,,
zmla,mon,m,Height of Boundary Layer,,URB-TIER1,,
