out_name,wrf_name,frequency,units,long_name,standard_name,priority,comment,cell_methods,cell_measures,dimensions,type,positive,valid_min,valid_max,ok_min_mean_abs,ok_max_mean_abs
tas,T2,day,K,Near-Surface Air Temperature,air_temperature,CORE,#T33 #WP4 #WP6,area: time: mean,area: areacella,longitude latitude time height2m,real,,,,,
tas,T2,1hr,K,Near-Surface Air Temperature,air_temperature,CORE,#T33 #WP4 #WP6,area: mean time: point,area: areacella,longitude latitude time1 height2m,real,,,,,
